id	price	sale_price	sale_price_effective_date
shopify_ZZ_15464903704907_56264292893003	198.00 CZK		
shopify_ZZ_15464903770443_56264292925771	198.00 CZK		
shopify_ZZ_15464903901515_56264292991307	296.00 CZK		
shopify_ZZ_15464903934283_56264293024075	296.00 CZK		
shopify_ZZ_15464904032587_56264293056843	166.00 CZK		
shopify_ZZ_15464904065355_56264293089611	267.00 CZK		
shopify_ZZ_15464904196427_56264293155147	349.00 CZK		
shopify_ZZ_15464904229195_56264293187915	341.00 CZK	300.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464904327499_56264293220683	155.00 CZK		
shopify_ZZ_15464904360267_56264293253451	630.00 CZK	560.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464904458571_56264293286219	163.00 CZK		
shopify_ZZ_15464904556875_56264293318987	250.00 CZK		
shopify_ZZ_15464904687947_56264293351755	207.00 CZK		
shopify_ZZ_15464904819019_56264293384523	253.00 CZK		
shopify_ZZ_15464904917323_56264293417291	5450.00 CZK	4687.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464905015627_56264293450059	5749.00 CZK	4541.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464905113931_56264293482827	163.00 CZK		
shopify_ZZ_15464905245003_56264293515595	664.00 CZK	571.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464905310539_56264293548363	615.00 CZK	485.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464905408843_56264293581131	508.00 CZK		
shopify_ZZ_15464905572683_56264293613899	493.00 CZK	433.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464905703755_56264293679435	187.00 CZK		
shopify_ZZ_15464905769291_56264293712203	319.00 CZK		
shopify_ZZ_15464905834827_56264293744971	407.00 CZK		
shopify_ZZ_15464905867595_56264293777739	224.00 CZK		
shopify_ZZ_15464905965899_56264293810507	344.00 CZK		
shopify_ZZ_15464906031435_56264293843275	336.00 CZK		
shopify_ZZ_15464906162507_56264293876043	350.00 CZK	249.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464906195275_56264293908811	566.00 CZK	360.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464906260811_56264293941579	629.00 CZK		
shopify_ZZ_15464906326347_56264293974347	342.00 CZK	325.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464906359115_56264294007115	243.00 CZK		
shopify_ZZ_15464906490187_56264294072651	186.00 CZK		
shopify_ZZ_15464906522955_56264294105419	193.00 CZK		
shopify_ZZ_15464906621259_56264294138187	578.00 CZK		
shopify_ZZ_15464906686795_56264294170955	467.00 CZK	373.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464906785099_56264294203723	317.00 CZK	301.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464906850635_56264294236491	1617.00 CZK	1180.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
